14/06/14 03:27:11 INFO terasort.TeraSort: starting
14/06/14 03:27:12 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/14 03:27:13 WARN snappy.LoadSnappy: Snappy native library is available
14/06/14 03:27:13 INFO util.NativeCodeLoader: Loaded the native-hadoop library
14/06/14 03:27:13 INFO snappy.LoadSnappy: Snappy native library loaded
14/06/14 03:27:17 INFO zlib.ZlibFactory: Successfully loaded & initialized native-zlib library
14/06/14 03:27:17 INFO compress.CodecPool: Got brand-new compressor
Making 100 from 100000 records
Step size is 1000.0
14/06/14 03:27:19 INFO mapred.FileInputFormat: Total input paths to process : 100
14/06/14 03:27:24 INFO mapred.JobClient: Running job: job_201406131535_0012
14/06/14 03:27:25 INFO mapred.JobClient:  map 0% reduce 0%
14/06/14 03:27:44 INFO mapred.JobClient:  map 2% reduce 0%
14/06/14 03:27:47 INFO mapred.JobClient:  map 3% reduce 0%
14/06/14 03:27:51 INFO mapred.JobClient:  map 4% reduce 0%
14/06/14 03:27:58 INFO mapred.JobClient:  map 5% reduce 0%
14/06/14 03:28:04 INFO mapred.JobClient:  map 6% reduce 0%
14/06/14 03:28:10 INFO mapred.JobClient:  map 7% reduce 0%
14/06/14 03:28:16 INFO mapred.JobClient:  map 8% reduce 0%
14/06/14 03:28:24 INFO mapred.JobClient:  map 9% reduce 0%
14/06/14 03:28:31 INFO mapred.JobClient:  map 10% reduce 0%
14/06/14 03:28:38 INFO mapred.JobClient:  map 11% reduce 0%
14/06/14 03:28:42 INFO mapred.JobClient:  map 12% reduce 0%
14/06/14 03:28:51 INFO mapred.JobClient:  map 12% reduce 1%
14/06/14 03:28:52 INFO mapred.JobClient:  map 13% reduce 1%
14/06/14 03:28:58 INFO mapred.JobClient:  map 14% reduce 1%
14/06/14 03:29:04 INFO mapred.JobClient:  map 15% reduce 1%
14/06/14 03:29:13 INFO mapred.JobClient:  map 16% reduce 1%
14/06/14 03:29:21 INFO mapred.JobClient:  map 17% reduce 1%
14/06/14 03:29:28 INFO mapred.JobClient:  map 18% reduce 1%
14/06/14 03:29:34 INFO mapred.JobClient:  map 18% reduce 2%
14/06/14 03:29:36 INFO mapred.JobClient:  map 19% reduce 2%
14/06/14 03:29:42 INFO mapred.JobClient:  map 20% reduce 2%
14/06/14 03:29:49 INFO mapred.JobClient:  map 21% reduce 2%
14/06/14 03:29:54 INFO mapred.JobClient:  map 22% reduce 2%
14/06/14 03:30:01 INFO mapred.JobClient:  map 23% reduce 2%
14/06/14 03:30:06 INFO mapred.JobClient:  map 24% reduce 2%
14/06/14 03:30:11 INFO mapred.JobClient:  map 25% reduce 2%
14/06/14 03:30:17 INFO mapred.JobClient:  map 26% reduce 2%
14/06/14 03:30:18 INFO mapred.JobClient:  map 26% reduce 3%
14/06/14 03:30:22 INFO mapred.JobClient:  map 27% reduce 3%
14/06/14 03:30:29 INFO mapred.JobClient:  map 28% reduce 3%
14/06/14 03:30:36 INFO mapred.JobClient:  map 29% reduce 3%
14/06/14 03:30:41 INFO mapred.JobClient:  map 30% reduce 3%
14/06/14 03:30:48 INFO mapred.JobClient:  map 31% reduce 3%
14/06/14 03:30:56 INFO mapred.JobClient:  map 32% reduce 3%
14/06/14 03:31:01 INFO mapred.JobClient:  map 33% reduce 3%
14/06/14 03:31:02 INFO mapred.JobClient:  map 33% reduce 4%
14/06/14 03:31:06 INFO mapred.JobClient:  map 34% reduce 4%
14/06/14 03:31:11 INFO mapred.JobClient:  map 35% reduce 4%
14/06/14 03:31:16 INFO mapred.JobClient:  map 36% reduce 4%
14/06/14 03:31:21 INFO mapred.JobClient:  map 37% reduce 4%
14/06/14 03:31:28 INFO mapred.JobClient:  map 38% reduce 4%
14/06/14 03:31:37 INFO mapred.JobClient:  map 39% reduce 4%
14/06/14 03:31:42 INFO mapred.JobClient:  map 40% reduce 4%
14/06/14 03:31:48 INFO mapred.JobClient:  map 41% reduce 4%
14/06/14 03:31:49 INFO mapred.JobClient:  map 41% reduce 5%
14/06/14 03:31:56 INFO mapred.JobClient:  map 42% reduce 5%
14/06/14 03:32:00 INFO mapred.JobClient:  map 43% reduce 5%
14/06/14 03:32:06 INFO mapred.JobClient:  map 44% reduce 5%
14/06/14 03:32:12 INFO mapred.JobClient:  map 45% reduce 5%
14/06/14 03:32:15 INFO mapred.JobClient:  map 46% reduce 5%
14/06/14 03:32:21 INFO mapred.JobClient:  map 47% reduce 5%
14/06/14 03:32:29 INFO mapred.JobClient:  map 48% reduce 5%
14/06/14 03:32:33 INFO mapred.JobClient:  map 48% reduce 6%
14/06/14 03:32:34 INFO mapred.JobClient:  map 49% reduce 6%
14/06/14 03:32:40 INFO mapred.JobClient:  map 50% reduce 6%
14/06/14 03:32:51 INFO mapred.JobClient:  map 51% reduce 6%
14/06/14 03:32:56 INFO mapred.JobClient:  map 52% reduce 6%
14/06/14 03:32:59 INFO mapred.JobClient:  map 53% reduce 6%
14/06/14 03:33:03 INFO mapred.JobClient:  map 54% reduce 6%
14/06/14 03:33:11 INFO mapred.JobClient:  map 55% reduce 6%
14/06/14 03:33:14 INFO mapred.JobClient:  map 55% reduce 7%
14/06/14 03:33:16 INFO mapred.JobClient:  map 56% reduce 7%
14/06/14 03:33:21 INFO mapred.JobClient:  map 57% reduce 7%
14/06/14 03:33:28 INFO mapred.JobClient:  map 58% reduce 7%
14/06/14 03:33:33 INFO mapred.JobClient:  map 59% reduce 7%
14/06/14 03:33:40 INFO mapred.JobClient:  map 60% reduce 7%
14/06/14 03:33:47 INFO mapred.JobClient:  map 61% reduce 7%
14/06/14 03:33:52 INFO mapred.JobClient:  map 62% reduce 7%
14/06/14 03:33:58 INFO mapred.JobClient:  map 63% reduce 7%
14/06/14 03:34:02 INFO mapred.JobClient:  map 63% reduce 8%
14/06/14 03:34:05 INFO mapred.JobClient:  map 64% reduce 8%
14/06/14 03:34:09 INFO mapred.JobClient:  map 65% reduce 8%
14/06/14 03:34:15 INFO mapred.JobClient:  map 66% reduce 8%
14/06/14 03:34:22 INFO mapred.JobClient:  map 67% reduce 8%
14/06/14 03:34:27 INFO mapred.JobClient:  map 68% reduce 8%
14/06/14 03:34:33 INFO mapred.JobClient:  map 69% reduce 8%
14/06/14 03:34:40 INFO mapred.JobClient:  map 70% reduce 8%
14/06/14 03:34:45 INFO mapred.JobClient:  map 71% reduce 9%
14/06/14 03:34:51 INFO mapred.JobClient:  map 72% reduce 9%
14/06/14 03:34:58 INFO mapred.JobClient:  map 73% reduce 9%
14/06/14 03:35:06 INFO mapred.JobClient:  map 74% reduce 9%
14/06/14 03:35:11 INFO mapred.JobClient:  map 75% reduce 9%
14/06/14 03:35:15 INFO mapred.JobClient:  map 76% reduce 9%
14/06/14 03:35:23 INFO mapred.JobClient:  map 77% reduce 9%
14/06/14 03:35:28 INFO mapred.JobClient:  map 78% reduce 9%
14/06/14 03:35:29 INFO mapred.JobClient:  map 78% reduce 10%
14/06/14 03:35:32 INFO mapred.JobClient:  map 79% reduce 10%
14/06/14 03:35:37 INFO mapred.JobClient:  map 80% reduce 10%
14/06/14 03:35:43 INFO mapred.JobClient:  map 81% reduce 10%
14/06/14 03:35:50 INFO mapred.JobClient:  map 82% reduce 10%
14/06/14 03:35:54 INFO mapred.JobClient:  map 83% reduce 10%
14/06/14 03:36:00 INFO mapred.JobClient:  map 84% reduce 10%
14/06/14 03:36:08 INFO mapred.JobClient:  map 85% reduce 10%
14/06/14 03:36:10 INFO mapred.JobClient:  map 85% reduce 11%
14/06/14 03:36:11 INFO mapred.JobClient:  map 86% reduce 11%
14/06/14 03:36:15 INFO mapred.JobClient:  map 87% reduce 11%
14/06/14 03:36:21 INFO mapred.JobClient:  map 88% reduce 11%
14/06/14 03:36:24 INFO mapred.JobClient:  map 89% reduce 11%
14/06/14 03:36:28 INFO mapred.JobClient:  map 90% reduce 11%
14/06/14 03:36:32 INFO mapred.JobClient:  map 91% reduce 11%
14/06/14 03:36:35 INFO mapred.JobClient:  map 92% reduce 11%
14/06/14 03:36:40 INFO mapred.JobClient:  map 93% reduce 11%
14/06/14 03:36:42 INFO mapred.JobClient:  map 93% reduce 12%
14/06/14 03:36:44 INFO mapred.JobClient:  map 94% reduce 12%
14/06/14 03:36:47 INFO mapred.JobClient:  map 95% reduce 12%
14/06/14 03:36:53 INFO mapred.JobClient:  map 96% reduce 12%
14/06/14 03:36:58 INFO mapred.JobClient:  map 97% reduce 12%
14/06/14 03:37:03 INFO mapred.JobClient:  map 98% reduce 12%
14/06/14 03:37:09 INFO mapred.JobClient:  map 99% reduce 12%
14/06/14 03:37:13 INFO mapred.JobClient:  map 99% reduce 13%
14/06/14 03:37:47 INFO mapred.JobClient:  map 100% reduce 13%
14/06/14 03:37:53 INFO mapred.JobClient:  map 100% reduce 14%
14/06/14 03:37:54 INFO mapred.JobClient:  map 100% reduce 16%
14/06/14 03:37:55 INFO mapred.JobClient:  map 100% reduce 17%
14/06/14 03:37:56 INFO mapred.JobClient:  map 100% reduce 19%
14/06/14 03:37:57 INFO mapred.JobClient:  map 100% reduce 22%
14/06/14 03:37:58 INFO mapred.JobClient:  map 100% reduce 23%
14/06/14 03:37:59 INFO mapred.JobClient:  map 100% reduce 24%
14/06/14 03:38:02 INFO mapred.JobClient:  map 100% reduce 25%
14/06/14 03:38:06 INFO mapred.JobClient:  map 100% reduce 26%
14/06/14 03:38:12 INFO mapred.JobClient:  map 100% reduce 27%
14/06/14 03:38:17 INFO mapred.JobClient:  map 100% reduce 28%
14/06/14 03:38:24 INFO mapred.JobClient:  map 100% reduce 29%
14/06/14 03:38:28 INFO mapred.JobClient:  map 100% reduce 30%
14/06/14 03:38:33 INFO mapred.JobClient:  map 100% reduce 31%
14/06/14 03:38:40 INFO mapred.JobClient:  map 100% reduce 32%
14/06/14 03:38:48 INFO mapred.JobClient:  map 100% reduce 33%
14/06/14 03:38:50 INFO mapred.JobClient:  map 100% reduce 34%
14/06/14 03:39:02 INFO mapred.JobClient:  map 100% reduce 35%
14/06/14 03:39:16 INFO mapred.JobClient:  map 100% reduce 36%
14/06/14 03:39:29 INFO mapred.JobClient:  map 100% reduce 37%
14/06/14 03:39:46 INFO mapred.JobClient:  map 100% reduce 38%
14/06/14 03:40:07 INFO mapred.JobClient:  map 100% reduce 39%
14/06/14 03:40:26 INFO mapred.JobClient:  map 100% reduce 40%
14/06/14 03:40:45 INFO mapred.JobClient:  map 100% reduce 41%
14/06/14 03:41:05 INFO mapred.JobClient:  map 100% reduce 42%
14/06/14 03:41:21 INFO mapred.JobClient:  map 100% reduce 43%
14/06/14 03:41:39 INFO mapred.JobClient:  map 100% reduce 44%
14/06/14 03:41:56 INFO mapred.JobClient:  map 100% reduce 45%
14/06/14 03:42:12 INFO mapred.JobClient:  map 100% reduce 46%
14/06/14 03:42:30 INFO mapred.JobClient:  map 100% reduce 47%
14/06/14 03:42:44 INFO mapred.JobClient:  map 100% reduce 48%
14/06/14 03:42:53 INFO mapred.JobClient:  map 100% reduce 49%
14/06/14 03:42:54 INFO mapred.JobClient:  map 100% reduce 50%
14/06/14 03:42:57 INFO mapred.JobClient:  map 100% reduce 51%
14/06/14 03:42:59 INFO mapred.JobClient:  map 100% reduce 52%
14/06/14 03:43:01 INFO mapred.JobClient:  map 100% reduce 53%
14/06/14 03:43:09 INFO mapred.JobClient:  map 100% reduce 54%
14/06/14 03:43:17 INFO mapred.JobClient:  map 100% reduce 55%
14/06/14 03:43:19 INFO mapred.JobClient:  map 100% reduce 56%
14/06/14 03:43:22 INFO mapred.JobClient:  map 100% reduce 57%
14/06/14 03:43:30 INFO mapred.JobClient:  map 100% reduce 58%
14/06/14 03:43:38 INFO mapred.JobClient:  map 100% reduce 59%
14/06/14 03:43:48 INFO mapred.JobClient:  map 100% reduce 60%
14/06/14 03:43:58 INFO mapred.JobClient:  map 100% reduce 61%
14/06/14 03:44:14 INFO mapred.JobClient:  map 100% reduce 62%
14/06/14 03:44:23 INFO mapred.JobClient:  map 100% reduce 63%
14/06/14 03:44:34 INFO mapred.JobClient:  map 100% reduce 64%
14/06/14 03:44:48 INFO mapred.JobClient:  map 100% reduce 65%
14/06/14 03:45:07 INFO mapred.JobClient:  map 100% reduce 66%
14/06/14 03:45:24 INFO mapred.JobClient:  map 100% reduce 67%
14/06/14 03:45:43 INFO mapred.JobClient:  map 100% reduce 68%
